   c                     m     n    p  q
   0.33619760720E-05   -2.0    9    0  0
  -0.14707220591E+01   -1.0    1    0  0
  -0.11972121043E+00   -1.0    2    0  0
  -0.11350363539E-04   -1.0    9    0  0
  -0.26778688896E-04   -0.5    8    0  0
   0.12755936511E-05   -0.5   10    0  0
   0.40088615477E-02    0.5    1    0  0
   0.52305580273E-05    0.5    7    0  0
  -0.10214454556E-07    1.0   10    0  0
  -0.14526799362E-01   -5.0    1   -1  1
   0.64975356409E-01   -4.0    1   -1  1
  -0.60304755494E-01   -2.0    1   -1  1
  -0.14925537332E+00   -2.0    2   -1  1
  -0.31664355868E-03   -2.0    8   -1  1
   0.28312781935E-01   -1.0    1   -1  1
   0.13039603845E-03   -1.0   10   -1  1
   0.10121435381E-01    0.0    4   -1  1
  -0.15425936014E-04    0.0    9   -1  1
  -0.61568007279E-01   -5.0    2   -1  2
   0.76001994423E-02   -4.0    5   -1  2
  -0.18906040708E+00   -3.0    1   -1  2
   0.33141311846E+00   -2.0    2   -1  2
  -0.25229604842E+00   -2.0    3   -1  2
   0.13145401812E+00   -2.0    4   -1  2
  -0.48672350917E-01   -1.0    2   -1  2
   0.14756043863E-02  -10.0    3   -1  3
  -0.85996667747E-02   -6.0    4   -1  3
   0.33880247915E-01   -4.0    2   -1  3
   0.69427495094E-02    0.0    2   -1  3
  -0.22271531045E-07  -24.0    5   -1  4
  -0.22656880018E-03  -10.0    2   -1  4
   0.24056013779E-02   -2.0   10   -1  4
